Topic NO;NO Docs;Keywords
190;1147;['potti', 'dada', 'tattoo', 'dragon', 'rat', 'valentino', 'goat', 'antonia', 'throne', 'koosha']
89;869;['sock', 'bbc', 'parent', 'homer', 'harari', 'contrail', 'doomerang', 'tran', 'ttip', 'kenzo']
77;471;['curfew', 'bundi', 'uae', 'ghomeshi', 'wolverin', 'ratner', 'fujimori', 'freita', 'bahá’í', 'lupidi']
173;355;['perez', 'snowden', 'palmer', 'siem', 'cornish', 'eleph', 'mcilroy', 'church', 'eavi', 'librari']
114;339;['fundrais', 'apprenticeship', 'tyre', 'prison', 'fundrais', 'disabl', 'homeless', 'disabl', 'humanitarian', 'dementia']
215;325;['vegan', 'wednesday', 'wednesday', 'tuesday', 'monday', 'thursday', 'huel', 'alix', 'chat', 'tip']
59;315;['kooiman', 'schipper', 'pite', 'knox', 'itoj', 'curri', 'warnock', 'raptor', 'ebner', 'arteta']
11;313;['g', 'season', 'ranieri', 'pellegrini', 'bt', 'koeman', 'snodgrass', 'sturridg', 'preseason', 'xia']
216;277;['invoic', 'bauer', 'ufc', 'soundcloud', 'ranger', 'barclay', 'duracel', 'verizon', 'cocoa', 'gannett']
24;249;['mdb', 'saudi', 'talktalk', 'discharg', '7eleven', 'sharia', 'csiro', 'saudi', 'glyphos', 'salmon']
99;192;['mnuchin', 'rubio', 'sarandon', 'pac', 'meme', 'rubio', 'rubio', 'adelson', 'biden', 'coloradocar']
118;188;['churchil', 'rotherham', 'ehic', 'ttip', 'eu', 'irish', 'tax', 'eu', 'imf', 'eu']
192;185;['barrow', 'sunscreen', 'thorp', 'ratner', 'mcdowel', 'hodgkin', 'fisk', 'grotto', 'prometheu', 'binchi']
202;172;['crm', 'emoji', 'cv', 'data', 'adblock', 'quantum', 'plastic', 'tampon', 'export', 'morag']
181;161;['aquajog', 'tyre', 'nevi', 'sleepwalk', 'lung', 'andsn', 'fashion', 'widn', 'gayl', 'pepe']
170;153;['thiel', 'warcraft', 'toy', 'tubman', 'kwouk', 'halloween', 'hathaway', 'vikand', 'kwouk', 'comic']
52;138;['pcc', 'plaid', 'plaid', 'scottish', 'labour', 'ree', 'labour', 'mp', 'labour', 'zane']
160;135;['hs2', 'hyperloop', 'hyperloop', 'yerevan', 'flint', 'corbi', 'rawabi', 'cheonggyecheon', 'frack', 'cancer']
29;119;['temperley', 'etherton', 'ned', 'crossword', 'penn', 'laker', 'peston', 'celtic', 'atp', 'chayka']
55;118;['hertz', 'bbc', 'hertz', 'bbc', 'bbc', 'bbc', 'bbc', 'birmingham', 'patten', 'bbc']
22;109;['shorten', 'bishop', 'plebiscit', 'sufi', 'xenophon', 'turnbul', 'turnbul', 'labor', 'shorten', 'bandt']
107;106;['librari', 'bee', 'journalist', 'ldc', 'prison', 'neet', 'wage', 'legrain', 'inflat', 'popul']
