Topic NO;NO Docs;Keywords
6;612;['g', 'season', 'mourinho', 'warnock', 'arteta', 'ranieri', 'rodger', 'pochettino', 'thai', 'morri']
170;494;['fundrais', 'dr', 'fundrais', 'therapist', 'oxygen', 'discharg', 'anxieti', 'anxieti', 'diabet', 'suicid']
89;487;['antonia', 'cv', 'disabl', 'talktalk', '7eleven', 'ucu', 'binoch', 'ldc', 'disabl', 'abort']
86;449;['hs2', 'siem', 'tobacco', 'tobacco', 'tax', 'hs2', 'cocoa', 'depp', 'wage', 'tax']
218;442;['churchil', 'ttip', 'ttip', 'sharia', 'export', 'ceta', 'enrol', 'rm', 'ehic', 'patten']
11;396;['homeless', 'mayweath', 'leasehold', 'muslim', 'council', 'homeless', 'parish', 'tfl', 'ricu', 'mosqu']
207;376;['soundcloud', 'wed', 'pite', 'lassnig', 'art', 'dane', 'festiv', 'eavi', 'franzen', 'ipod']
96;318;['mdb', 'pollut', 'coral', 'seafood', 'reef', 'batteri', 'belgrad', 'csiro', 'acidif', 'plastic']
81;313;['tuesday', 'friday', 'friday', 'friday', 'wednesday', 'wednesday', 'wednesday', 'wednesday', 'tuesday', 'tuesday']
97;298;['mnuchin', 'perez', 'thiel', 'obituari', 'gun', 'gun', 'rubio', 'sarandon', 'pac', 'meme']
216;275;['librari', 'dragon', 'bee', 'tip', 'fawcettflatsfriday', 'cat', 'bangladesh', 'itch', 'heel', 'plot']
49;257;['saudi', 'journalist', 'refuge', 'humanitarian', 'refuge', 'jacket', 'refuge', 'saudi', 'humanitarian', 'airdrop']
172;253;['tattoo', 'ridsdal', 'valentino', 'masturb', 'bundi', 'dog', 'porn', 'sulli', 'kincora', 'lyst']
178;245;['password', 'snowden', 'abc', 'curri', 'raptor', 'warcraft', 'embarrass', 'guthri', 'spur', 'ling']
191;200;['cannabi', 'prison', 'prison', 'pelé', 'antibiot', 'prison', 'prison', 'prison', 'prison', 'ratner']
83;178;['parent', 'tran', 'nolan', 'hyman', 'unrwa', 'teacher', 'duckworth', 'guardianteach', 'breakfast', 'school']
36;160;['bbc', 'bbc', 'bbc', 'bbc', 'recip', 'bbc', 'bbc', 'bbc', 'grundi', 'birmingham']
164;141;['pension', 'steel', 'pension', 'glyphos', 'bh', 'tata', 'bh', 'tata', 'asda', 'bh']
186;135;['drone', 'mansoor', 'iceland', 'interpret', 'uber', 'hekmatyar', 'ev', 'rosberg', 'drone', 'uber']
152;134;['itoj', 'ebner', 'hayn', 'hayn', 'corbisiero', '•', 'widn', 'haggerti', 'mcshane', '•']
215;132;['hertz', 'bauer', 'hertz', 'eurovis', 'tudor', 'scilli', 'cunk', 'weinstein', 'deen', 'peston']
194;114;['schipper', 'diamond', 'hyperloop', 'knox', 'hyperloop', 'mcilroy', 'gasol', 'spieth', 'clara', 'pendleton']
125;110;['mathew', 'gayl', 'gayl', 'compton', 'stoke', 'panesar', 'cemeteri', 'shanaka', 'cemeteri', 'bairstow']
76;104;['vegan', 'vegan', 'vegan', 'turmer', 'embryo', 'miso', 'egg', 'skin', 'chees', 'pastri']
92;102;['barrow', 'langley', 'award', 'morag', 'noorjji', 'moya', 'salmon', 'angharad', 'koalapak', 'roasteri']
150;98;['fallon', 'nyquist', 'allweath', 'gosden', 'payn', 'derbi', 'derbi', 'frankel', 'payn', 'ride']
160;96;['garden', 'garden', 'garden', 'ranger', 'eleph', 'ivori', 'indigen', 'squirrel', 'plant', 'rhino']
115;65;['tsa', 'spider', 'hedg', 'mh370', 'flight', 'turtl', 'turtl', 'spider', 'chocolat', 'menzio']
117;55;['apprenticeship', 'church', 'grotto', 'bt', 'archdioces', 'hitchen', 'bt', 'faith', 'priest', 'bond']
118;53;['tenni', 'djokov', 'beden', 'mauresmo', 'mladenov', 'murray', 'murray', 'murray', 'djokov', 'murray']
168;50;['wolverin', 'xmen', 'comic', 'helberg', 'florenc', 'preacher', 'superhero', 'dc', 'batman', 'pullman']
211;43;['dada', 'poetri', 'poetri', 'greec', 'poem', 'plath’', 'debt', 'debt', 'biennal', 'duffi']
161;28;['debentur', 'ticket', 'ticket', 'crossword', 'resel', 'crossword', 'fashion', 'cryptic', 'crossword', 'ticket']
112;21;['hutterit', 'fpö', 'hofer', 'bellen', 'hofer', 'hofer', 'bellen', 'der', 'fpö', 'der']
29;20;['rawabi', 'netanyahu', 'palestinian', 'palestinian', 'lieberman', 'hinn', 'hama', 'palestinian', 'gaza', 'isra']
51;20;['aug', 'aug', 'aug', 'knee', 'knee', 'tottenham', 'r3', 'dann', 'cabay', 'aug']
114;16;['bitcoin', 'bitcoin', 'bitcoin', 'bitcoin', 'kabila', 'wright', 'spacey', 'wright', 'bitcoin', 'wright']
144;12;['throne', 'jon', '“r', 'tyrel', 'j”', 'sansa', 'dani', 'jaim', 'hodor', 'lyanna']
80;11;['chibok', 'chibok', 'haram', 'giwa', 'boko', 'nkeki', 'boko', 'haram', 'chibok', 'boko']
44;8;['ufc', 'mayweath', 'mcgregor', 'ufc', 'editor', 'mcgregor', 'mullin', 'ufc', 'ufc', 'editor']
57;8;['3x3', '3x3', '3x3', '3x3', '83', '83', '83', '83', 'grid', 'grid']
